model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
mobilenet_v2,0.5000,60.0000,dsl,10,2,,154,0,40.9806,33.2870,2.0006,33.2870,2.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1000,59.4000,95.6000
mobilenet_v2,0.5000,60.0000,pure_edge,10,2,,154,0,40.9806,34.9187,3.2262,34.9187,3.2262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.1000,59.4000,95.6000
mobilenet_v2,0.5000,60.0000,pure_cloud,10,2,__input__,1,153,9652.7216,9662.0260,6.0032,0.2231,0.0363,9645.2013,5.7395,16.6016,1.2872,602112.0000,0.0000,60.5336,38.0000,99.3000
mobilenet_v2,1.0000,60.0000,dsl,10,2,,154,0,40.9806,46.3990,10.4206,46.3990,10.4206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.6926,38.0000,99.3000
mobilenet_v2,1.0000,60.0000,pure_edge,10,2,,154,0,40.9806,86.0794,25.9582,86.0794,25.9582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8603,38.0000,99.6000
mobilenet_v2,1.0000,60.0000,pure_cloud,10,2,__input__,1,153,4835.8256,4848.5639,6.2024,0.3435,0.2415,4830.3136,3.9129,17.9068,2.5976,602112.0000,0.0000,60.6635,35.5000,99.6000
mobilenet_v2,5.0000,60.0000,dsl,10,2,,154,0,40.9806,45.0052,5.6072,45.0052,5.6072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.7599,35.5000,100.0000
mobilenet_v2,5.0000,60.0000,pure_edge,10,2,,154,0,40.9806,43.4924,9.8860,43.4924,9.8860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.7599,35.5000,100.0000
mobilenet_v2,5.0000,60.0000,pure_cloud,10,2,__input__,1,153,982.3088,991.2770,4.6428,0.2966,0.0600,973.4249,4.5326,17.5555,2.3738,602112.0000,0.0000,60.9335,35.5000,100.0000
mobilenet_v2,10.0000,60.0000,dsl,10,2,,154,0,40.9806,41.6618,12.3632,41.6618,12.3632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9962,35.5000,100.0000
mobilenet_v2,10.0000,60.0000,pure_edge,10,2,,154,0,40.9806,92.2333,171.8015,92.2333,171.8015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1968,35.5000,100.0000
mobilenet_v2,10.0000,60.0000,pure_cloud,10,2,__input__,1,153,500.6192,515.7908,8.5820,0.3188,0.1557,495.4691,6.3009,20.0029,4.7145,602112.0000,0.0000,61.1286,35.5000,100.0000
mobilenet_v2,20.0000,60.0000,dsl,10,2,,154,0,40.9806,40.6734,8.6238,40.6734,8.6238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1298,35.5000,100.0000
